Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,Tradecount
2020-12-03 00:00:00,BTC/USDT,19204.08000000,19598.00000000,18867.20000000,19421.90000000,66689.39127900,1286548310.82671000,1242229
2020-12-02 00:00:00,BTC/USDT,18764.96000000,19342.00000000,18330.00000000,19204.09000000,75911.01347800,1436895344.82595000,1566635
2020-12-01 00:00:00,BTC/USDT,19695.87000000,19888.00000000,18001.12000000,18764.96000000,127698.76265200,2446070334.82880000,2023802
2020-11-30 00:00:00,BTC/USDT,18185.00000000,19863.16000000,18184.99000000,19695.87000000,115463.46688800,2205929119.50534000,1744149
2020-11-29 00:00:00,BTC/USDT,17719.84000000,18360.05000000,17517.00000000,18184.99000000,55329.01630300,996743798.86492200,1141289
2020-11-28 00:00:00,BTC/USDT,17139.53000000,17880.49000000,16865.56000000,17719.85000000,64910.69997000,1128061605.10723000,1209385
2020-11-27 00:00:00,BTC/USDT,17149.47000000,17457.62000000,16438.08000000,17139.52000000,85297.02478700,1446670351.43509000,1572299
2020-11-26 00:00:00,BTC/USDT,18718.83000000,18915.03000000,16188.00000000,17149.47000000,181005.24669300,3127314143.10457000,2770483
2020-11-25 00:00:00,BTC/USDT,19160.00000000,19484.21000000,18500.27000000,18719.11000000,93266.57688700,1774870796.28823000,1785408
2020-11-24 00:00:00,BTC/USDT,18368.01000000,19418.97000000,18018.00000000,19160.01000000,113581.50924100,2145301450.45794000,2179862
2020-11-23 00:00:00,BTC/USDT,18413.88000000,18766.00000000,18000.00000000,18368.00000000,82961.50609300,1529064319.66944000,1629379
2020-11-22 00:00:00,BTC/USDT,18703.80000000,18750.00000000,17610.86000000,18414.43000000,81645.73777800,1497662550.05404000,1528524
2020-11-21 00:00:00,BTC/USDT,18655.66000000,18965.90000000,18308.58000000,18703.80000000,75577.45839400,1413641591.28417000,1451352
2020-11-20 00:00:00,BTC/USDT,17802.81000000,18815.22000000,17740.04000000,18655.67000000,88423.01848900,1623135138.59107000,1444692
2020-11-19 00:00:00,BTC/USDT,17777.75000000,18179.80000000,17335.65000000,17802.82000000,93009.56100800,1656794228.85376000,1513304
2020-11-18 00:00:00,BTC/USDT,17659.38000000,18476.93000000,17214.45000000,17776.12000000,149019.78813400,2663337935.50030000,2091832
2020-11-17 00:00:00,BTC/USDT,16713.08000000,17858.82000000,16538.00000000,17659.38000000,115221.40310200,1982752071.45051000,1646652
2020-11-16 00:00:00,BTC/USDT,15957.00000000,16880.00000000,15864.00000000,16713.57000000,81300.67592400,1335728013.90576000,1202386
2020-11-15 00:00:00,BTC/USDT,16069.56000000,16180.00000000,15774.72000000,15957.00000000,43596.84151300,696651729.74525300,854441
2020-11-14 00:00:00,BTC/USDT,16320.04000000,16326.99000000,15670.00000000,16070.45000000,59116.34717900,944765868.60941900,931424
2020-11-13 00:00:00,BTC/USDT,16291.85000000,16480.00000000,15952.35000000,16320.70000000,75691.88101400,1230358611.12489000,1208773
2020-11-12 00:00:00,BTC/USDT,15684.25000000,16340.70000000,15440.64000000,16291.86000000,102196.35659200,1628755508.67420000,1472049
2020-11-11 00:00:00,BTC/USDT,15297.21000000,15965.00000000,15272.68000000,15684.24000000,78469.74645800,1226425496.36186000,1247167
2020-11-10 00:00:00,BTC/USDT,15328.41000000,15460.00000000,15072.46000000,15297.21000000,61681.91960600,943615126.08915000,1093466
2020-11-09 00:00:00,BTC/USDT,15475.10000000,15840.00000000,14805.54000000,15328.41000000,108976.33413400,1670447935.51418000,1505441
2020-11-08 00:00:00,BTC/USDT,14818.30000000,15650.00000000,14703.88000000,15475.10000000,65547.17857400,998031373.83978000,998773
2020-11-07 00:00:00,BTC/USDT,15579.93000000,15753.52000000,14344.22000000,14818.30000000,101431.20655300,1536510177.09147000,1557021
2020-11-06 00:00:00,BTC/USDT,15590.02000000,15960.00000000,15166.00000000,15579.92000000,122618.19769500,1909660728.82292000,1654968
2020-11-05 00:00:00,BTC/USDT,14144.01000000,15750.00000000,14093.56000000,15590.02000000,143741.52267300,2131865609.29089000,1736055
2020-11-04 00:00:00,BTC/USDT,14023.53000000,14259.00000000,13525.00000000,14144.01000000,93016.98826200,1293872665.41796000,1212959
2020-11-03 00:00:00,BTC/USDT,13549.63000000,14066.11000000,13284.99000000,14023.53000000,74115.63078700,1009402087.71046000,1052569
2020-11-02 00:00:00,BTC/USDT,13761.49000000,13830.00000000,13195.05000000,13549.37000000,64566.42190800,873629993.83139300,869850
2020-11-01 00:00:00,BTC/USDT,13791.00000000,13895.00000000,13603.00000000,13761.50000000,36285.64852600,499124369.07532600,606248
2020-10-31 00:00:00,BTC/USDT,13560.10000000,14100.00000000,13411.50000000,13791.00000000,67339.23851500,927048458.54236200,1022202
2020-10-30 00:00:00,BTC/USDT,13455.69000000,13669.98000000,13115.00000000,13560.10000000,70657.77888100,946818817.55750900,1060387
2020-10-29 00:00:00,BTC/USDT,13266.40000000,13642.91000000,12920.77000000,13455.70000000,74872.60213200,997867948.86097400,1008433
2020-10-28 00:00:00,BTC/USDT,13636.16000000,13859.48000000,12888.00000000,13266.40000000,94440.56122600,1263487952.99516000,1234511
2020-10-27 00:00:00,BTC/USDT,13052.15000000,13789.29000000,13019.87000000,13636.17000000,80796.55399600,1085214437.75111000,1003550
2020-10-26 00:00:00,BTC/USDT,13029.64000000,13238.81000000,12765.00000000,13052.19000000,60951.67298600,794395722.45334600,818144
2020-10-25 00:00:00,BTC/USDT,13111.73000000,13350.00000000,12888.00000000,13028.83000000,38481.57950400,502672049.22905200,610498
